"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1923 <= Year >= 2024"",""Oceanic Tsunami = true"",""Probable Tsunami <= Validity >= Definite Tsunami""]"																																													
	1923	2	3	16	1	50	4	1	8.4			1	"RUSSIA"	"KAMCHATKA"	54.486	160.472	8	21		3		3	1					1.5	2					3	1					1.5	2		2		
	1923	2	17				3	0				0	"CHILE"	"CENTRAL CHILE"	-35.33	-72.42	1.5	1		0.6	1.5																								
	1923	3	2	16	48	52	3	1	7.2			0	"PHILIPPINES"	"MINDANAO ISLAND, PHILIPPINES"	6.5	124		1			0.5																								
	1923	4	13	15	31	2	4	1	7.2			1	"RUSSIA"	"KAMCHATKA"	56.5	162.5	20	11		4.9	3.5	18	1						3		3			18	1						3		3		
	1923	6	1	17	24	0	4	1	7.3			0	"JAPAN"	"KASHIMA, JAPAN"	35.4	141.8	0.4	1		-1.3	-1.5																								
	1923	9	1	2	58	37	4	1	7.9			1	"JAPAN"	"SAGAMI BAY"	35.1	139.5	13	142		3.6	3	325	3				3		3	868	3			105385	4		4	52074	4	600	4	695000	4		
	1923	9	2	2	46	40	4	1	7.7			0	"JAPAN"	"RYUKYU ISLANDS"	34.9	140.2	0.3	6		-1.7	-1.5																								
	1923	11	2	21	8	11.5	3	1	7.1			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-4.653	154.232		2																											
	1924	3	4	10	7	52.2	3	1	6.7			0	"COSTA RICA"	"COSTA RICA"	9.587	-84.515		1																											
	1924	4	14	16	20	23	4	3	8.3			0	"PHILIPPINES"	"E. MINDANAO ISLAND"	6.5	126.5		3			0.5																				3		3		
	1924	5	6	16	9	20	4	3	6.5			0	"PHILIPPINES"	"PHILIPPINES"	16	118		1		1	1.5								1												1				
	1924	6	26	1	37	34	3	1	7.8			0	"AUSTRALIA"	"MACQUARIE ISLAND"	-56	157.5		1																											
	1925	2	23	23	53	36	3	3	6			0	"USA"	"GULF OF ALASKA, AK"	60	-146	1.4	1		0.5	1								1												1				
	1925	10	4	16			4	9				0	"USA"	"CALIFORNIA"			0.34	2			-3.5																								
	1926	1	25	0	36	25	3	1	7.5			0	"SOLOMON ISLANDS"	"SOLOMON SEA"	-10.061	159.215		1																							1				
	1926	8	30	11	38	12	3	1	7.2			0	"GREECE"	"ARGOLIKOS GULF"	36.5	23.3		0																											
	1926	9	16	17	59	15	4	1	6.9			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-9.674	159.519	2	2		1	1.5								1												2				2
	1927	3	7	9	27		4	3	7.6			0	"JAPAN"	"SW. HONSHU ISLAND"	35.6	135.1	11.3	17		0.4	0.5													3022	4			3295	4		4	15594	4	9821	4
	1927	6	26	11	20	48	4	1	6			0	"UKRAINE"	"CRIMEA, BLACK SEA"	44.4	34.4	0.7	0		-0.5	2																				2				
	1927	8	5	21	13	1.1	4	1	6.9			0	"JAPAN"	"SANRIKU"	37.9	142	0.1	5		-3.3																					1				
	1927	8	18	19	28		4	1	6.4			0	"JAPAN"	"KASHIMA, JAPAN"	34.2	142	0.4	2		-1.3																									
	1927	9	11	22	15	48	4	1	6.8			0	"UKRAINE"	"CRIMEA, BLACK SEA"	44.4	34.5	1	1			2								1	1	2			11	1			122	3		4		4		4
	1927	10	24	15	59	44.8	3	3	7.1			0	"USA"	"SE. ALASKA, AK"	57.69	-136.07		9											1																
	1927	11	4	13	50	43	4	1	7.3			0	"USA"	"S. CALIFORNIA"	34.813	-120.774	1.8	8		1	1								1												2				
	1927	11	21	23	12	25	3	1	7.1			0	"CHILE"	"SOUTHERN CHILE"	-44.6	-73		1		1.5	2																								
	1927	12	1	4	37	27	3	1	6.3			0	"INDONESIA"	"SULAWESI"	-0.7	119.7	15	2		3.9	3	50	1			50	1		2		2			50	1			50	1		3		3		
	1927	12	28	18	20	34.2	4	1	7.5			0	"RUSSIA"	"KAMCHATKA"	55.663	160.039	2	2		1																									
